"L_minus_N","loss_aversion","no_loss_aversion","sep_dist","pen_val","mult","factor","lambda","std","subject"
2,798.333114732536,796.333114732536,32,0,0,0,5.01368066737,13.4010852644478,403
-26.1143019673738,827.050668451748,853.164970419122,32,0,0,0,1.7609585524,7.69792802146786,404
-38.4987127374941,803.327842324381,841.826555061875,32,0,0,0,1.29009337443,9.59052824936666,405
5.30486346721352,771.437589299121,766.132725831907,32,0,0,0,1.26746182827,15.1545877510409,406
6.0665593716783,1135.52738261319,1129.46082324151,32,0,0,0,3.01446901077,4.94523806638265,411
-5.94403546787521,942.484847567447,948.428883035322,32,0,0,0,2.41751674568,8.84860085140018,412
-51.8324495192348,1096.85984741695,1148.69229693618,32,0,0,0,1.41715595538,7.55758141179438,501
58.2851623969844,1006.02746556244,947.742303165453,32,0,0,0,7.81125058871,8.35761148035729,502
32.6341654572248,1016.8710198822,984.236854424979,32,0,0,0,1.85281017002,10.0822224958091,503
-11.1792522375054,1132.41224390781,1143.59149614531,32,0,0,0,1.03649046349,6.05004358197526,504
2,1032.03638120393,1030.03638120393,32,0,0,0,3.56337440157,8.8106341896767,505
8.06201552054949,903.190185356154,895.128169835604,32,0,0,0,2.02196277404,8.5966745370521,506
26.8233347178659,750.716045548659,723.892710830793,32,1,0,1,5.01368066737,13.4010852644478,403
5.42569225652881,670.553932179454,665.128239922925,32,1,0,1,1.7609585524,7.69792802146786,404
1.93476717411409,730.728336209377,728.793569035263,32,1,0,1,1.29009337443,9.59052824936666,405
1.83889334876562,733.002767395176,731.163874046411,32,1,0,1,1.26746182827,15.1545877510409,406
-5.85103333765687,735.367848460145,741.218881797802,32,1,0,1,3.01446901077,4.94523806638265,411
9.62474143781594,841.671753789744,832.047012351928,32,1,0,1,2.41751674568,8.84860085140018,412
2,853.78374451116,851.78374451116,32,1,0,1,1.41715595538,7.55758141179438,501
30.9192491522087,919.334142175705,888.414893023496,32,1,0,1,7.81125058871,8.35761148035729,502
-1.01029371544985,897.204794688718,898.215088404168,32,1,0,1,1.85281017002,10.0822224958091,503
-78.8129877403817,945.004450377574,1023.81743811796,32,1,0,1,1.03649046349,6.05004358197526,504
11.5842601931267,881.625019736401,870.040759543274,32,1,0,1,3.56337440157,8.8106341896767,505
2.97425249437413,805.169559394412,802.195306900038,32,1,0,1,2.02196277404,8.5966745370521,506
124.501876131236,1035.92275246048,911.42087632924,32,3,1,1,5.01368066737,13.4010852644478,403
7.83886463428053,789.578671999481,781.7398073652,32,3,1,1,1.7609585524,7.69792802146786,404
12.4263800040959,849.183432858166,836.75705285407,32,3,1,1,1.29009337443,9.59052824936666,405
22.2558957173615,833.095074642423,810.839178925061,32,3,1,1,1.26746182827,15.1545877510409,406
35.2033284905074,804.40183464971,769.198506159203,32,3,1,1,3.01446901077,4.94523806638265,411
21.6046534456405,894.661791018383,873.057137572743,32,3,1,1,2.41751674568,8.84860085140018,412
9.70348086461127,865.794171495531,856.090690630919,32,3,1,1,1.41715595538,7.55758141179438,501
54.8277373126982,993.735692404073,938.907955091375,32,3,1,1,7.81125058871,8.35761148035729,502
9.89956161276541,874.53905377239,864.639492159625,32,3,1,1,1.85281017002,10.0822224958091,503
31.560396462168,881.263954532272,849.703558070104,32,3,1,1,1.03649046349,6.05004358197526,504
29.6449225463035,943.446229582185,913.801307035881,32,3,1,1,3.56337440157,8.8106341896767,505
11.8101813669606,819.818790126907,808.008608759946,32,3,1,1,2.02196277404,8.5966745370521,506
-21.7876370378474,755.947452349146,777.735089386993,32,5,0,5,5.01368066737,13.4010852644478,403
0.970604789910112,792.467381723789,791.496776933879,32,5,0,5,1.7609585524,7.69792802146786,404
-22.9624280390032,714.724549592037,737.68697763104,32,5,0,5,1.29009337443,9.59052824936666,405
-5.78537006505644,737.899808257881,743.685178322937,32,5,0,5,1.26746182827,15.1545877510409,406
5.04635852967476,858.584121570041,853.537763040366,32,5,0,5,3.01446901077,4.94523806638265,411
-3.64511845144818,790.500889259225,794.146007710673,32,5,0,5,2.41751674568,8.84860085140018,412
32.253670304655,988.700349891146,956.446679586491,32,5,0,5,1.41715595538,7.55758141179438,501
-45.2872673018543,932.248135208702,977.535402510556,32,5,0,5,7.81125058871,8.35761148035729,502
-13.3662705344203,978.735057706226,992.101328240646,32,5,0,5,1.85281017002,10.0822224958091,503
-0.489168730654455,2123.8387714383,2124.32794016896,32,5,0,5,1.03649046349,6.05004358197526,504
